aX,aY,aZ,gX,gY,gZ
0.455,-0.286,-0.304,31.799,173.401,-211.914
0.522,-0.337,-0.261,16.174,170.471,-213.257
0.481,-0.449,-0.307,18.372,173.462,-214.233
0.477,-0.567,-0.375,24.109,179.443,-213.196
0.411,-0.687,-0.470,33.203,182.617,-206.482
0.376,-0.798,-0.575,44.922,182.678,-193.848
0.352,-0.892,-0.659,49.500,179.871,-177.917
0.327,-0.916,-0.727,45.959,173.279,-155.945
0.358,-0.876,-0.769,37.903,164.917,-132.812
0.387,-0.801,-0.804,34.668,156.494,-113.342
0.397,-0.713,-0.838,37.659,149.109,-98.633
0.436,-0.607,-0.814,31.677,141.052,-89.417
0.401,-0.549,-0.823,23.193,135.864,-85.510
0.390,-0.533,-0.854,13.367,132.080,-86.060
0.385,-0.610,-0.946,5.127,128.296,-89.294
0.378,-0.694,-1.012,-1.038,120.667,-89.417
0.375,-0.762,-1.032,-2.258,107.239,-84.473
0.355,-0.827,-1.076,-2.075,93.872,-76.843
0.375,-0.819,-1.012,-8.545,80.627,-66.956
0.358,-0.776,-0.953,-15.076,65.979,-53.894
0.351,-0.730,-0.916,-18.799,61.707,-45.105
0.347,-0.629,-0.810,-22.278,54.932,-38.330
0.327,-0.495,-0.673,-27.344,52.124,-36.255
0.295,-0.363,-0.554,-32.959,54.565,-40.283
0.275,-0.323,-0.554,-30.334,65.491,-52.002
0.282,-0.437,-0.734,-19.165,79.956,-68.970
0.315,-0.599,-0.938,-13.000,86.670,-81.909
0.313,-0.727,-1.074,-15.686,82.825,-85.632
0.292,-0.835,-1.179,-21.118,71.167,-82.520
0.295,-0.915,-1.219,-24.658,53.223,-74.829
0.272,-0.932,-1.174,-31.189,30.334,-61.157
0.268,-0.894,-1.032,-40.161,7.385,-45.532
0.280,-0.829,-0.885,-47.241,-6.836,-32.898
0.285,-0.740,-0.765,-41.748,-13.672,-23.804
0.309,-0.673,-0.712,-31.677,-14.099,-18.982
0.348,-0.647,-0.698,-22.034,-9.583,-19.409
0.350,-0.615,-0.665,-19.409,-6.653,-20.569
0.348,-0.599,-0.640,-18.555,-3.418,-22.461
0.335,-0.609,-0.634,-16.479,0.183,-26.001
0.307,-0.647,-0.675,-8.789,4.395,-28.381
0.316,-0.727,-0.777,-3.113,7.874,-30.090
0.325,-0.788,-0.871,4.211,6.470,-28.442
0.320,-0.813,-0.923,14.404,0.366,-22.583
0.331,-0.840,-0.947,18.921,-7.629,-16.235
0.338,-0.829,-0.897,18.188,-17.700,-8.728
0.320,-0.748,-0.787,18.921,-27.771,-0.977
0.315,-0.654,-0.679,24.048,-33.813,3.540
0.339,-0.594,-0.590,24.353,-34.424,3.662
0.342,-0.562,-0.523,25.757,-30.029,1.221
0.334,-0.557,-0.500,28.442,-21.423,-2.197
0.331,-0.583,-0.537,31.799,-10.254,-5.554
0.311,-0.634,-0.621,31.555,0.183,-8.179
0.259,-0.679,-0.744,27.100,6.409,-7.751
0.294,-0.719,-0.852,-71.289,7.996,1.404
0.382,-0.505,-0.811,-189.636,-8.606,21.118
0.403,-0.406,-0.548,-118.713,-19.348,11.414
0.337,-0.494,-0.432,-75.134,-14.648,-9.583
0.266,-0.653,-0.414,-53.650,-2.991,-24.048
0.275,-0.760,-0.444,-52.734,9.033,-26.489
0.283,-0.776,-0.488,-53.162,18.372,-21.851
0.260,-0.775,-0.581,-37.964,25.574,-18.066
0.254,-0.796,-0.716,-19.409,29.846,-16.724
0.214,-0.786,-0.805,-3.540,27.161,-14.221
0.249,-0.825,-0.844,19.592,17.395,-12.695
0.228,-0.908,-0.872,29.236,6.104,-12.207
0.216,-0.894,-0.787,25.330,-6.592,-3.418
0.219,-0.784,-0.656,18.555,-16.235,7.568
0.226,-0.655,-0.560,8.240,-17.822,13.916
0.240,-0.565,-0.526,0.000,-12.817,12.512
0.267,-0.570,-0.573,-2.441,-4.944,5.066
0.274,-0.656,-0.667,-1.587,0.732,-3.235
0.257,-0.752,-0.732,1.709,0.488,-7.385
0.249,-0.797,-0.717,5.127,-4.089,-6.287
0.252,-0.785,-0.655,7.019,-8.850,-2.380
0.254,-0.758,-0.625,10.803,-9.399,1.404
0.263,-0.719,-0.611,13.428,-7.507,4.333
0.273,-0.670,-0.598,16.174,-5.615,5.737
0.282,-0.645,-0.608,19.653,-3.174,4.456
0.293,-0.655,-0.636,23.437,-0.488,0.916
0.295,-0.687,-0.659,23.865,0.366,-1.770
0.295,-0.711,-0.672,20.813,0.000,-2.502
0.291,-0.718,-0.660,18.860,-0.977,-2.136
0.283,-0.714,-0.662,24.475,-2.075,-0.854
0.292,-0.712,-0.666,21.057,-1.892,0.427
0.301,-0.700,-0.668,15.930,-1.587,1.709
0.311,-0.682,-0.668,7.874,-1.587,2.686
0.310,-0.686,-0.691,4.333,-1.160,2.563
0.304,-0.696,-0.698,2.380,-1.404,2.197
0.384,1.964,-0.360,14.343,31.067,-66.406
0.252,2.095,-0.427,16.418,23.987,-104.553
0.193,2.108,-0.477,24.841,10.681,-155.457
0.176,1.901,-0.465,31.433,-7.507,-216.309
0.167,1.589,-0.407,23.865,-26.917,-269.775
0.130,1.302,-0.319,15.930,-44.128,-305.969
0.172,1.073,-0.194,9.155,-59.631,-326.172
0.186,0.874,-0.091,8.545,-68.604,-334.351
0.204,0.718,0.012,11.230,-72.510,-333.862
0.235,0.622,0.127,11.780,-72.693,-325.562
0.279,0.550,0.226,24.292,-67.566,-315.491
0.337,0.495,0.293,37.170,-57.190,-306.641
0.409,0.428,0.319,53.528,-43.030,-299.866
0.466,0.292,0.288,70.740,-26.489,-298.096
0.539,0.152,0.233,76.782,-11.169,-294.983
0.611,0.056,0.182,69.946,0.244,-285.278
0.665,0.002,0.141,66.711,8.911,-271.423
0.656,0.022,0.094,66.650,14.954,-255.066
0.645,0.129,0.070,68.176,18.982,-239.441
0.633,0.244,0.052,66.467,21.179,-232.239
0.547,0.295,0.027,69.275,22.522,-235.046
0.516,0.257,0.030,75.928,22.278,-241.455
0.535,0.132,0.030,81.238,20.752,-249.329
0.584,0.022,0.036,81.726,18.555,-251.526
0.619,-0.044,0.071,65.674,15.564,-246.399
0.688,-0.115,0.129,54.688,12.512,-239.990
0.705,-0.161,0.194,47.546,14.160,-231.934
0.712,-0.143,0.263,50.354,19.226,-221.313
0.668,-0.145,0.291,58.777,29.541,-214.783
0.625,-0.155,0.307,69.336,43.274,-214.539
0.590,-0.178,0.298,72.571,59.326,-217.041
0.599,-0.172,0.267,73.242,76.904,-219.421
0.566,-0.184,0.191,82.214,93.506,-222.351
0.524,-0.181,0.115,88.745,107.361,-225.891
0.501,-0.200,0.059,90.515,116.516,-229.675
0.450,-0.263,-0.014,90.393,123.352,-236.755
0.430,-0.362,-0.073,88.135,127.380,-243.225
0.431,-0.492,-0.138,84.045,130.615,-247.681
0.437,-0.617,-0.209,81.421,132.141,-247.253
0.427,-0.730,-0.242,67.139,132.690,-243.347
0.424,-0.826,-0.264,46.631,132.874,-235.474
0.261,-0.914,-0.406,28.259,132.874,-222.351
0.414,-0.826,-0.250,-57.678,132.202,-201.965
0.366,-0.759,-0.308,-49.683,124.207,-190.063
0.315,-0.782,-0.361,-10.559,119.690,-192.383
0.336,-0.835,-0.403,-10.193,115.845,-193.604
0.322,-0.849,-0.399,-19.226,109.375,-189.392
0.312,-0.849,-0.376,-24.902,101.929,-184.448
0.289,-0.845,-0.345,-30.518,96.008,-180.359
0.272,-0.843,-0.313,-36.133,93.445,-178.650
0.237,-0.879,-0.313,-38.696,93.567,-179.993
0.220,-0.930,-0.339,-34.729,95.032,-182.007
0.172,-1.000,-0.387,-29.419,96.313,-182.617
0.137,-1.066,-0.454,-22.522,95.520,-180.786
0.127,-1.123,-0.486,-25.085,91.248,-175.476
0.102,-1.188,-0.570,-10.437,83.984,-166.443
0.118,-1.213,-0.544,-20.569,75.378,-154.724
0.130,-1.224,-0.525,-29.114,64.941,-141.907
0.124,-1.216,-0.494,-25.940,54.932,-128.784
0.116,-1.200,-0.447,-23.132,47.119,-116.943
0.083,-1.178,-0.423,-15.686,43.091,-106.323
0.077,-1.150,-0.404,-15.381,40.588,-96.497
0.077,-1.165,-0.404,-9.277,39.185,-89.111
0.058,-1.202,-0.449,3.662,37.720,-81.909
0.070,-1.252,-0.516,-9.277,34.607,-73.364
0.098,-1.282,-0.545,-7.996,28.809,-63.354
0.083,-1.297,-0.601,5.676,21.484,-51.514
0.063,-1.273,-0.551,0.183,14.221,-39.246
0.076,-1.240,-0.529,-5.737,7.446,-28.625
0.085,-1.202,-0.526,0.061,1.221,-19.104
0.079,-1.180,-0.523,2.563,-3.296,-11.414
0.092,-1.176,-0.521,-0.305,-7.690,-5.737
0.117,-1.137,-0.467,-3.784,-13.367,-0.793
0.134,-1.062,-0.395,1.587,-19.287,5.127
0.129,-0.981,-0.311,3.235,-21.484,8.423
0.129,-0.928,-0.260,1.465,-18.066,7.019
0.118,-0.909,-0.252,-0.549,-10.620,2.563
0.114,-0.926,-0.309,-3.845,-2.686,-2.441
0.124,-0.948,-0.357,-7.385,0.549,-5.432
0.090,-0.965,-0.371,-1.465,-1.282,-5.737
0.078,-1.002,-0.388,3.967,-3.967,-4.517
0.088,-1.044,-0.408,3.967,-7.141,-2.380
0.113,-1.063,-0.414,3.296,-11.230,1.526
0.139,-1.027,-0.370,-0.916,-16.296,7.507
0.135,-0.960,-0.298,-5.676,-20.447,12.512
0.126,-0.906,-0.251,-7.751,-21.240,14.771
0.107,-0.867,-0.235,-5.615,-19.775,15.259
0.118,-0.839,-0.247,-0.244,-17.944,14.465
0.136,-0.862,-0.282,5.371,-15.808,11.536
0.163,-0.935,-0.313,4.089,-13.977,6.897
0.167,-0.952,-0.300,1.770,-14.648,6.531
0.166,-0.920,-0.246,-1.587,-15.869,8.362
0.148,-0.884,-0.192,-3.113,-14.099,8.850
0.143,-0.848,-0.161,-3.601,-9.277,7.507
0.136,-0.826,-0.183,-3.418,-1.587,3.662
0.140,-0.833,-0.239,-4.211,5.676,-1.404
0.116,-0.862,-0.299,-1.648,8.972,-5.798
0.103,-0.902,-0.339,5.371,7.996,-8.118
0.104,-0.974,-0.372,5.127,5.798,-9.521
0.119,-1.033,-0.392,3.296,2.380,-8.118
0.129,-1.066,-0.382,-0.061,-1.587,-3.662
0.126,-1.068,-0.344,-0.793,-5.493,1.953
0.105,-1.042,-0.308,4.761,-8.301,9.399
0.115,-1.025,-0.304,8.484,-7.568,14.771
0.140,-1.001,-0.309,8.606,-5.737,18.372
0.145,-0.944,-0.310,5.615,-4.761,21.545
0.157,-0.873,-0.292,0.549,-4.395,21.851
0.146,-0.827,-0.282,-1.282,-3.113,18.494
0.140,-0.824,-0.286,-1.282,-0.916,12.024
0.098,-0.875,-0.325,1.953,1.160,4.944
0.161,-0.936,-0.350,2.136,0.916,0.732
0.140,-0.980,-0.369,1.831,-0.427,-0.244
0.153,-1.025,-0.367,0.977,-2.075,0.061
0.158,-1.063,-0.359,3.906,-4.333,3.662
0.158,-1.052,-0.339,3.662,-6.531,10.010
0.158,-0.988,-0.316,1.465,-7.629,16.418
0.161,-0.910,-0.284,-0.916,-7.202,19.226
0.142,-0.858,-0.272,0.610,-5.676,18.127
0.134,-0.837,-0.296,5.127,-2.930,14.160
0.261,1.904,-0.551,41.626,-60.242,-12.329
0.291,2.017,-0.560,40.955,-70.313,-49.927
0.320,2.074,-0.531,28.809,-80.444,-96.313
0.213,2.035,-0.523,28.503,-90.515,-146.301
0.131,1.950,-0.540,15.686,-96.680,-193.909
0.061,1.891,-0.467,19.104,-107.117,-234.741
-0.016,1.836,-0.428,9.338,-117.310,-271.545
-0.157,1.650,-0.377,6.836,-127.319,-310.242
-0.168,1.322,-0.356,7.568,-138.855,-349.609
-0.152,0.989,-0.273,-0.854,-153.931,-374.939
-0.105,0.675,-0.136,-5.066,-169.006,-386.047
0.050,0.430,0.016,-14.954,-178.711,-383.667
0.129,0.239,0.186,-27.466,-182.495,-369.812
0.297,0.164,0.347,-33.447,-178.528,-345.886
0.401,0.199,0.453,-32.410,-164.185,-317.627
0.374,0.372,0.482,-31.982,-142.334,-293.030
0.378,0.608,0.426,-17.395,-119.629,-278.992
0.425,0.682,0.272,6.897,-98.328,-286.499
0.260,0.539,0.253,23.132,-85.754,-307.068
0.271,0.303,0.289,21.545,-79.712,-325.867
0.406,0.105,0.234,13.733,-70.862,-332.825
0.475,-0.063,0.200,5.005,-64.941,-329.224
0.411,-0.270,0.262,1.770,-65.491,-322.815
0.452,-0.456,0.371,-1.221,-63.293,-307.922
0.494,-0.568,0.433,0.427,-53.345,-281.799
0.548,-0.619,0.415,10.132,-37.292,-249.817
0.598,-0.607,0.390,12.695,-20.386,-216.553
0.650,-0.498,0.299,22.400,-7.141,-184.570
0.659,-0.340,0.300,31.067,2.441,-160.706
0.692,-0.163,0.219,54.504,10.864,-146.729
0.797,-0.099,0.194,54.138,16.968,-148.132
0.834,-0.112,0.166,48.340,21.301,-155.396
0.810,-0.177,0.097,49.377,24.841,-162.842
0.788,-0.209,0.083,23.621,23.743,-167.664
0.754,-0.173,0.114,23.926,21.545,-169.006
0.703,-0.253,0.101,42.969,21.973,-175.659
0.688,-0.366,0.093,21.484,23.132,-184.570
